id,picture_name,original_confidence,removed_bg_confidence
n02412080_5030,n02412080_5030.png,"[{349: 58.83927917480469}, {348: 41.160667419433594}, {350: 5.225816130405292e-05}, {272: 1.0261386478305212e-06}, {209: 9.615662293072091e-07}]","[{349: 59.538448333740234}, {348: 40.45304489135742}, {23: 0.0025186443235725164}, {350: 0.0013546970440074801}, {996: 0.0007122851675376296}]"
n02412080_17477,n02412080_17477.png,"[{348: 75.89208984375}, {258: 3.76292085647583}, {270: 2.3453986644744873}, {222: 2.1964545249938965}, {232: 1.7476392984390259}]","[{348: 88.84029388427734}, {850: 1.851347804069519}, {126: 0.9145405888557434}, {452: 0.8343632221221924}, {349: 0.5543878078460693}]"
n02412080_16034,n02412080_16034.png,"[{348: 81.07646942138672}, {346: 15.257604598999023}, {349: 3.590012311935425}, {345: 0.04208914190530777}, {350: 0.025320755317807198}]","[{348: 88.51309204101562}, {349: 10.94477653503418}, {346: 0.4715878367424011}, {345: 0.059731438755989075}, {350: 0.008439470082521439}]"
n02412080_10463,n02412080_10463.png,"[{348: 53.75434112548828}, {349: 46.23558044433594}, {350: 0.009832004085183144}, {346: 7.359667506534606e-05}, {345: 6.575442967005074e-05}]","[{349: 69.63265991210938}, {348: 30.353954315185547}, {350: 0.01322619803249836}, {345: 5.301446435623802e-05}, {346: 2.5991894290200435e-05}]"
n02412080_1630,n02412080_1630.png,"[{349: 89.70816802978516}, {348: 7.719036102294922}, {350: 2.5247535705566406}, {353: 0.02260417863726616}, {351: 0.006324229761958122}]","[{349: 83.1801528930664}, {348: 12.025872230529785}, {350: 4.4741291999816895}, {351: 0.12998591363430023}, {353: 0.05147625878453255}]"
n02412080_17033,n02412080_17033.png,"[{348: 54.92765426635742}, {349: 45.068382263183594}, {350: 0.0026969444006681442}, {346: 0.00024777514045126736}, {347: 0.00015412067295983434}]","[{349: 58.97761154174805}, {348: 41.008182525634766}, {350: 0.012996714562177658}, {353: 0.00011054661445086822}, {345: 8.332497236551717e-05}]"
n02412080_10107,n02412080_10107.png,"[{348: 65.97883605957031}, {349: 33.93683624267578}, {350: 0.03565693274140358}, {346: 0.02315899170935154}, {345: 0.009270353242754936}]","[{348: 54.566009521484375}, {349: 45.1102409362793}, {350: 0.1896711140871048}, {345: 0.03460537642240524}, {353: 0.030896000564098358}]"
n02412080_12075,n02412080_12075.png,"[{348: 99.7383804321289}, {349: 0.14416523277759552}, {355: 0.10657189786434174}, {345: 0.0015656884061172605}, {347: 0.0011974202934652567}]","[{348: 96.96331024169922}, {349: 2.0463292598724365}, {355: 0.4901009500026703}, {23: 0.035528481006622314}, {354: 0.028096675872802734}]"
n02412080_14232,n02412080_14232.png,"[{348: 99.93292236328125}, {349: 0.04080706834793091}, {355: 0.009937693364918232}, {169: 0.004601797554641962}, {222: 0.0034182462841272354}]","[{348: 99.93045043945312}, {349: 0.06387389451265335}, {169: 0.0011708444217219949}, {345: 0.000929191242903471}, {355: 0.000857953738886863}]"
n02412080_16213,n02412080_16213.png,"[{349: 51.72418212890625}, {348: 48.263668060302734}, {350: 0.01195981353521347}, {362: 2.8733924409607425e-05}, {275: 2.793558087432757e-05}]","[{349: 69.75900268554688}, {348: 30.17951774597168}, {350: 0.05424736440181732}, {171: 0.0015819170512259007}, {362: 0.000530848978087306}]"
